config_id,mass,width_top,width_bottom,height,volume,filling_amount_ml,filling_amount_g,total_mass,fullness
55,134,80,65,135,354,0,0,134,0.00
56,134,80,65,135,354,0,0,134,0.00
57,134,80,65,135,354,0,0,134,0.00
58,134,80,65,135,354,0,0,134,0.00
59,134,80,65,135,354,0,0,134,0.00
60,134,80,65,135,354,0,0,134,0.00
61,134,80,65,135,354,0,0,134,0.00
62,134,80,65,135,354,0,0,134,0.00
63,134,80,65,135,354,0,0,134,0.00
64,134,80,65,135,354,300,243,377,84.75
65,134,80,65,135,354,300,243,377,84.75
66,134,80,65,135,354,300,243,377,84.75
67,134,80,65,135,354,300,243,377,84.75
68,134,80,65,135,354,300,243,377,84.75
69,134,80,65,135,354,300,243,377,84.75
70,134,80,65,135,354,300,243,377,84.75
71,134,80,65,135,354,300,243,377,84.75
72,134,80,65,135,354,300,243,377,84.75
73,2,72,43,82,179,0,0,2,0.00
74,2,72,43,82,179,0,0,2,0.00
75,2,72,43,82,179,0,0,2,0.00
76,2,72,43,82,179,0,0,2,0.00
77,2,72,43,82,179,0,0,2,0.00
78,2,72,43,82,179,0,0,2,0.00
79,2,72,43,82,179,0,0,2,0.00
80,2,72,43,82,179,0,0,2,0.00
81,2,72,43,82,179,0,0,2,0.00
82,2,72,43,82,179,125,101.25,103.25,69.83
83,2,72,43,82,179,125,101.25,103.25,69.83
84,2,72,43,82,179,125,101.25,103.25,69.83
85,2,72,43,82,179,125,101.25,103.25,69.83
86,2,72,43,82,179,125,101.25,103.25,69.83
87,2,72,43,82,179,125,101.25,103.25,69.83
88,2,72,43,82,179,125,101.25,103.25,69.83
89,2,72,43,82,179,125,101.25,103.25,69.83
90,2,72,43,82,179,125,101.25,103.25,69.83
91,10,97,61,121,497,0,0,10,0.00
92,10,97,61,121,497,0,0,10,0.00
93,10,97,61,121,497,0,0,10,0.00
94,10,97,61,121,497,0,0,10,0.00
95,10,97,61,121,497,0,0,10,0.00
96,10,97,61,121,497,0,0,10,0.00
97,10,97,61,121,497,0,0,10,0.00
98,10,97,61,121,497,0,0,10,0.00
99,10,97,61,121,497,0,0,10,0.00
100,10,97,61,121,497,400,324,334,80.48
101,10,97,61,121,497,400,324,334,80.48
102,10,97,61,121,497,400,324,334,80.48
103,10,97,61,121,497,400,324,334,80.48
104,10,97,61,121,497,400,324,334,80.48
105,10,97,61,121,497,400,324,334,80.48
106,10,97,61,121,497,400,324,334,80.48
107,10,97,61,121,497,400,324,334,80.48
108,10,97,61,121,497,400,324,334,80.48
109,9,99,65,136,605,0,0,9,0.00
110,9,99,65,136,605,0,0,9,0.00
111,9,99,65,136,605,0,0,9,0.00
112,9,99,65,136,605,0,0,9,0.00
113,9,99,65,136,605,0,0,9,0.00
114,9,99,65,136,605,0,0,9,0.00
115,9,99,65,136,605,0,0,9,0.00
116,9,99,65,136,605,0,0,9,0.00
117,9,99,65,136,605,0,0,9,0.00
118,9,99,65,136,605,450,364.5,373.5,74.38
119,9,99,65,136,605,450,364.5,373.5,74.38
120,9,99,65,136,605,450,364.5,373.5,74.38
121,9,99,65,136,605,450,364.5,373.5,74.38
122,9,99,65,136,605,450,364.5,373.5,74.38
123,9,99,65,136,605,450,364.5,373.5,74.38
124,9,99,65,136,605,450,364.5,373.5,74.38
125,9,99,65,136,605,450,364.5,373.5,74.38
126,9,99,65,136,605,450,364.5,373.5,74.38
127,134,80,65,135,354,0,0,134,0.00
128,134,80,65,135,354,0,0,134,0.00
129,134,80,65,135,354,0,0,134,0.00
130,134,80,65,135,354,0,0,134,0.00
131,134,80,65,135,354,0,0,134,0.00
132,134,80,65,135,354,0,0,134,0.00
133,134,80,65,135,354,0,0,134,0.00
134,134,80,65,135,354,0,0,134,0.00
135,134,80,65,135,354,0,0,134,0.00
136,134,80,65,135,354,300,243,377,84.75
137,134,80,65,135,354,300,243,377,84.75
138,134,80,65,135,354,300,243,377,84.75
139,134,80,65,135,354,300,243,377,84.75
140,134,80,65,135,354,300,243,377,84.75
141,134,80,65,135,354,300,243,377,84.75
142,134,80,65,135,354,300,243,377,84.75
143,134,80,65,135,354,300,243,377,84.75
144,134,80,65,135,354,300,243,377,84.75
145,2,72,43,82,179,0,0,2,0.00
146,2,72,43,82,179,0,0,2,0.00
147,2,72,43,82,179,0,0,2,0.00
148,2,72,43,82,179,0,0,2,0.00
149,2,72,43,82,179,0,0,2,0.00
150,2,72,43,82,179,0,0,2,0.00
151,2,72,43,82,179,0,0,2,0.00
152,2,72,43,82,179,0,0,2,0.00
153,2,72,43,82,179,0,0,2,0.00
154,2,72,43,82,179,125,101.25,103.25,69.83
155,2,72,43,82,179,125,101.25,103.25,69.83
156,2,72,43,82,179,125,101.25,103.25,69.83
157,2,72,43,82,179,125,101.25,103.25,69.83
158,2,72,43,82,179,125,101.25,103.25,69.83
159,2,72,43,82,179,125,101.25,103.25,69.83
160,2,72,43,82,179,125,101.25,103.25,69.83
161,2,72,43,82,179,125,101.25,103.25,69.83
162,2,72,43,82,179,125,101.25,103.25,69.83
163,10,97,61,121,497,0,0,10,0.00
164,10,97,61,121,497,0,0,10,0.00
165,10,97,61,121,497,0,0,10,0.00
166,10,97,61,121,497,0,0,10,0.00
167,10,97,61,121,497,0,0,10,0.00
168,10,97,61,121,497,0,0,10,0.00
169,10,97,61,121,497,0,0,10,0.00
170,10,97,61,121,497,0,0,10,0.00
171,10,97,61,121,497,0,0,10,0.00
172,10,97,61,121,497,400,324,334,80.48
173,10,97,61,121,497,400,324,334,80.48
174,10,97,61,121,497,400,324,334,80.48
175,10,97,61,121,497,400,324,334,80.48
176,10,97,61,121,497,400,324,334,80.48
177,10,97,61,121,497,400,324,334,80.48
178,10,97,61,121,497,400,324,334,80.48
179,10,97,61,121,497,400,324,334,80.48
180,10,97,61,121,497,400,324,334,80.48
181,9,99,65,136,605,0,0,9,0.00
182,9,99,65,136,605,0,0,9,0.00
183,9,99,65,136,605,0,0,9,0.00
184,9,99,65,136,605,0,0,9,0.00
185,9,99,65,136,605,0,0,9,0.00
186,9,99,65,136,605,0,0,9,0.00
187,9,99,65,136,605,0,0,9,0.00
188,9,99,65,136,605,0,0,9,0.00
189,9,99,65,136,605,0,0,9,0.00
190,9,99,65,136,605,450,364.5,373.5,74.38
191,9,99,65,136,605,450,364.5,373.5,74.38
192,9,99,65,136,605,450,364.5,373.5,74.38
193,9,99,65,136,605,450,364.5,373.5,74.38
194,9,99,65,136,605,450,364.5,373.5,74.38
195,9,99,65,136,605,450,364.5,373.5,74.38
196,9,99,65,136,605,450,364.5,373.5,74.38
197,9,99,65,136,605,450,364.5,373.5,74.38
198,9,99,65,136,605,450,364.5,373.5,74.38
199,134,80,65,135,354,0,0,134,0.00
200,134,80,65,135,354,0,0,134,0.00
201,134,80,65,135,354,0,0,134,0.00
202,134,80,65,135,354,0,0,134,0.00
203,134,80,65,135,354,0,0,134,0.00
204,134,80,65,135,354,0,0,134,0.00
205,134,80,65,135,354,0,0,134,0.00
206,134,80,65,135,354,0,0,134,0.00
207,134,80,65,135,354,0,0,134,0.00
208,134,80,65,135,354,300,243,377,84.75
209,134,80,65,135,354,300,243,377,84.75
210,134,80,65,135,354,300,243,377,84.75
211,134,80,65,135,354,300,243,377,84.75
212,134,80,65,135,354,300,243,377,84.75
213,134,80,65,135,354,300,243,377,84.75
214,134,80,65,135,354,300,243,377,84.75
215,134,80,65,135,354,300,243,377,84.75
216,134,80,65,135,354,300,243,377,84.75
217,2,72,43,82,179,0,0,2,0.00
218,2,72,43,82,179,0,0,2,0.00
219,2,72,43,82,179,0,0,2,0.00
220,2,72,43,82,179,0,0,2,0.00
221,2,72,43,82,179,0,0,2,0.00
222,2,72,43,82,179,0,0,2,0.00
223,2,72,43,82,179,0,0,2,0.00
224,2,72,43,82,179,0,0,2,0.00
225,2,72,43,82,179,0,0,2,0.00
226,2,72,43,82,179,125,101.25,103.25,69.83
227,2,72,43,82,179,125,101.25,103.25,69.83
228,2,72,43,82,179,125,101.25,103.25,69.83
229,2,72,43,82,179,125,101.25,103.25,69.83
230,2,72,43,82,179,125,101.25,103.25,69.83
231,2,72,43,82,179,125,101.25,103.25,69.83
232,2,72,43,82,179,125,101.25,103.25,69.83
233,2,72,43,82,179,125,101.25,103.25,69.83
234,2,72,43,82,179,125,101.25,103.25,69.83
235,10,97,61,121,497,0,0,10,0.00
236,10,97,61,121,497,0,0,10,0.00
237,10,97,61,121,497,0,0,10,0.00
238,10,97,61,121,497,0,0,10,0.00
239,10,97,61,121,497,0,0,10,0.00
240,10,97,61,121,497,0,0,10,0.00
241,10,97,61,121,497,0,0,10,0.00
242,10,97,61,121,497,0,0,10,0.00
243,10,97,61,121,497,0,0,10,0.00
244,10,97,61,121,497,400,324,334,80.48
245,10,97,61,121,497,400,324,334,80.48
246,10,97,61,121,497,400,324,334,80.48
247,10,97,61,121,497,400,324,334,80.48
248,10,97,61,121,497,400,324,334,80.48
249,10,97,61,121,497,400,324,334,80.48
250,10,97,61,121,497,400,324,334,80.48
251,10,97,61,121,497,400,324,334,80.48
252,10,97,61,121,497,400,324,334,80.48
253,9,99,65,136,605,0,0,9,0.00
254,9,99,65,136,605,0,0,9,0.00
255,9,99,65,136,605,0,0,9,0.00
256,9,99,65,136,605,0,0,9,0.00
257,9,99,65,136,605,0,0,9,0.00
258,9,99,65,136,605,0,0,9,0.00
259,9,99,65,136,605,0,0,9,0.00
260,9,99,65,136,605,0,0,9,0.00
261,9,99,65,136,605,0,0,9,0.00
262,9,99,65,136,605,450,364.5,373.5,74.38
263,9,99,65,136,605,450,364.5,373.5,74.38
264,9,99,65,136,605,450,364.5,373.5,74.38
265,9,99,65,136,605,450,364.5,373.5,74.38
266,9,99,65,136,605,450,364.5,373.5,74.38
267,9,99,65,136,605,450,364.5,373.5,74.38
268,9,99,65,136,605,450,364.5,373.5,74.38
269,9,99,65,136,605,450,364.5,373.5,74.38
270,9,99,65,136,605,450,364.5,373.5,74.38
271,134,80,65,135,354,0,0,134,0.00
272,134,80,65,135,354,0,0,134,0.00
273,134,80,65,135,354,0,0,134,0.00
274,134,80,65,135,354,0,0,134,0.00
275,134,80,65,135,354,0,0,134,0.00
276,134,80,65,135,354,0,0,134,0.00
277,134,80,65,135,354,0,0,134,0.00
278,134,80,65,135,354,0,0,134,0.00
279,134,80,65,135,354,0,0,134,0.00
280,134,80,65,135,354,300,243,377,84.75
281,134,80,65,135,354,300,243,377,84.75
282,134,80,65,135,354,300,243,377,84.75
283,134,80,65,135,354,300,243,377,84.75
284,134,80,65,135,354,300,243,377,84.75
285,134,80,65,135,354,300,243,377,84.75
286,134,80,65,135,354,300,243,377,84.75
287,134,80,65,135,354,300,243,377,84.75
288,134,80,65,135,354,300,243,377,84.75
